"game_date","time","home_team","away_team","spread","over_vig","under_vig"
2022-10-18,"23:30:00Z","Boston Celtics","Philadelphia 76ers",-2.5,1.9,1.9
2022-10-19,"02:00:00Z","Golden State Warriors","Los Angeles Lakers",-6.5,1.9,1.9
2022-10-19,"23:10:00Z","Detroit Pistons","Orlando Magic",-3.5,1.9,1.9
2022-10-19,"23:10:00Z","Indiana Pacers","Washington Wizards",2,1.9,1.9
2022-10-19,"23:30:00Z","Brooklyn Nets","New Orleans Pelicans",-4,1.9,1.9
2022-10-19,"23:40:00Z","Atlanta Hawks","Houston Rockets",-9.5,1.9,1.9
2022-10-19,"23:40:00Z","Miami Heat","Chicago Bulls",5.5,1.9,1.9
2022-10-19,"23:40:00Z","Toronto Raptors","Cleveland Cavaliers",3,1.9,1.9
2022-10-19,"23:40:00Z","Memphis Grizzlies","New York Knicks",-6.5,1.9,1.9
2022-10-20,"00:10:00Z","San Antonio Spurs","Charlotte Hornets",-2.5,1.9,1.9
2022-10-20,"00:10:00Z","Minnesota Timberwolves","Oklahoma City Thunder",-10.5,1.85,1.95
2022-10-20,"01:10:00Z","Utah Jazz","Denver Nuggets",-8,1.9,1.9
2022-10-20,"02:10:00Z","Phoenix Suns","Dallas Mavericks",5,1.9,1.9
2022-10-20,"02:10:00Z","Sacramento Kings","Portland Trail Blazers",1.5,1.9,1.9
2022-10-20,"23:30:00Z","Philadelphia 76ers","Milwaukee Bucks",3,1.9,1.9
2022-10-21,"02:00:00Z","Los Angeles Lakers","Los Angeles Clippers",-3.5,1.9,1.9
2022-10-18,"23:30:00Z","Boston Celtics","Philadelphia 76ers",-2,1.9,1.9
2022-10-19,"02:00:00Z","Golden State Warriors","Los Angeles Lakers",-6,1.9,1.9
2022-10-19,"23:10:00Z","Detroit Pistons","Orlando Magic",-3.5,1.9,1.9
2022-10-19,"23:10:00Z","Indiana Pacers","Washington Wizards",2,1.9,1.9
2022-10-19,"23:30:00Z","Brooklyn Nets","New Orleans Pelicans",-3.5,1.9,1.9
2022-10-19,"23:40:00Z","Atlanta Hawks","Houston Rockets",-9.5,1.9,1.9
2022-10-19,"23:40:00Z","Miami Heat","Chicago Bulls",5.5,1.95,1.85
2022-10-19,"23:40:00Z","Toronto Raptors","Cleveland Cavaliers",3,1.85,1.95
2022-10-19,"23:40:00Z","Memphis Grizzlies","New York Knicks",-6.5,1.95,1.85
2022-10-20,"00:10:00Z","San Antonio Spurs","Charlotte Hornets",-2,1.9,1.9
2022-10-20,"00:10:00Z","Minnesota Timberwolves","Oklahoma City Thunder",-11,1.9,1.9
2022-10-20,"01:10:00Z","Utah Jazz","Denver Nuggets",-8,1.9,1.9
2022-10-20,"02:10:00Z","Phoenix Suns","Dallas Mavericks",4.5,1.85,1.95
2022-10-20,"02:10:00Z","Sacramento Kings","Portland Trail Blazers",1.5,1.95,1.85
2022-10-20,"23:30:00Z","Philadelphia 76ers","Milwaukee Bucks",3,1.9,1.9
2022-10-21,"02:00:00Z","Los Angeles Lakers","Los Angeles Clippers",-4,1.9,1.9
2022-10-19,"23:10:00Z","Detroit Pistons","Orlando Magic",-3,1.85,1.95
2022-10-19,"23:10:00Z","Indiana Pacers","Washington Wizards",1.5,1.9,1.9
2022-10-19,"23:40:00Z","Atlanta Hawks","Houston Rockets",-9.5,1.85,1.95
2022-10-19,"23:40:00Z","Brooklyn Nets","New Orleans Pelicans",-3.5,1.9,1.9
2022-10-19,"23:40:00Z","Miami Heat","Chicago Bulls",6.5,1.9,1.9
2022-10-19,"23:40:00Z","Toronto Raptors","Cleveland Cavaliers",2.5,1.9,1.9
2022-10-19,"23:40:00Z","Memphis Grizzlies","New York Knicks",-5,1.85,1.95
2022-10-20,"00:10:00Z","San Antonio Spurs","Charlotte Hornets",-1.5,1.9,1.9
2022-10-20,"00:10:00Z","Minnesota Timberwolves","Oklahoma City Thunder",-10.5,1.9,1.9
2022-10-20,"01:10:00Z","Utah Jazz","Denver Nuggets",-7.5,1.85,1.95
2022-10-20,"02:10:00Z","Phoenix Suns","Dallas Mavericks",4.5,1.9,1.9
2022-10-20,"02:10:00Z","Sacramento Kings","Portland Trail Blazers",2,1.9,1.9
2022-10-20,"23:30:00Z","Philadelphia 76ers","Milwaukee Bucks",3.5,1.9,1.9
2022-10-21,"02:00:00Z","Los Angeles Lakers","Los Angeles Clippers",-5,1.9,1.9
2022-10-20,"23:30:00Z","Philadelphia 76ers","Milwaukee Bucks",4,1.9,1.9
2022-10-21,"02:00:00Z","Los Angeles Lakers","Los Angeles Clippers",-6.5,1.9,1.9
2022-10-21,"23:10:00Z","Charlotte Hornets","New Orleans Pelicans",6.5,1.9,1.9
2022-10-21,"23:10:00Z","Washington Wizards","Chicago Bulls",1.5,1.85,1.95
2022-10-21,"23:10:00Z","Indiana Pacers","San Antonio Spurs",-3,1.9,1.9
