game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number,
2023_04_DET_GB,28/09/2023,Thursday,GB,DET,4,4,-2,45,0.821806613,3.84593925,J.Love,J.Goff,-1.367306068,-0.183653034,
2023_04_ATL_JAX,1/10/2023,Sunday,JAX,ATL,7,7,3,43.5,2.562447034,1.026209416,T.Lawrence,D.Ridder,3.193064186,3.096532093,
2023_04_MIA_BUF,1/10/2023,Sunday,BUF,MIA,7,7,3,54,5.845836659,3.395515876,J.Allen,T.Tagovailoa,4.107147351,3.553573675,
2023_04_MIN_CAR,1/10/2023,Sunday,CAR,MIN,7,7,-3,44.5,-0.838204399,-2.699861316,A.Dalton,K.Cousins,3.518483486,0.259241743,
2023_04_DEN_CHI,1/10/2023,Sunday,CHI,DEN,7,7,-2,45,-8.893696248,0.201678521,J.Fields,R.Wilson,-7.438548201,-4.719274101,over?
2023_04_BAL_CLE,1/10/2023,Sunday,CLE,BAL,7,7,2.5,42.5,-0.095834724,6.642260479,D.Watson,L.Jackson,-5.081268635,-3.290634317,look for a 3.
2023_04_PIT_HOU,1/10/2023,Sunday,HOU,PIT,7,7,-4.5,40.5,-8.19186628,1.625982487,C.Stroud,K.Pickett,-8.161022199,-6.3305111,
2023_04_LA_IND,1/10/2023,Sunday,IND,LA,6,7,-1.5,45.5,-0.884846497,-1.386751859,G.Minshew,M.Stafford,2.158731931,0.329365965,
2023_04_TB_NO,1/10/2023,Sunday,NO,TB,6,7,3.5,41,1.365679032,-6.366724489,D.Carr,B.Mayfield,9.389230088,6.444615044,
2023_04_WAS_PHI,1/10/2023,Sunday,PHI,WAS,7,6,7.5,45,2.881762987,1.187667506,J.Hurts,S.Howell,3.350922049,5.425461025,
2023_04_CIN_TEN,1/10/2023,Sunday,TEN,CIN,6,7,-1.5,41.5,-2.357776002,7.44248483,R.Tannehill,J.Burrow,-8.143434263,-4.821717132,
2023_04_LV_LAC,1/10/2023,Sunday,LAC,LV,7,7,4.5,49.5,0.773524652,1.021288611,J.Herbert,J.Garoppolo,1.409062609,2.954531305,
2023_04_NE_DAL,1/10/2023,Sunday,DAL,NE,7,7,7,42.5,3.097130652,-1.57859529,D.Prescott,M.Jones,6.332552511,6.916276255,
2023_04_ARI_SF,1/10/2023,Sunday,SF,ARI,7,10,14,42.5,8.597468604,-5.793318375,B.Purdy,J.Dobbs,16.04761355,NA,over 42?
2023_04_KC_NYJ,1/10/2023,Sunday,NYJ,KC,7,7,-9.5,44.5,-0.442686191,6.299114763,Z.Wilson,P.Mahomes,-5.084974386,-6.042487193,wait on this. Line is def not coming down.
2023_04_SEA_NYG,2/10/2023,Monday,NYG,SEA,8,11,-2,45,-1.421969946,0.117047832,D.Jones,G.Smith,0.11780879,NA,wait for 3.
,,,,,,,,,,,,,,,over 45
